Name,Sex,Bodyweight,Age,Squat,Bench,Deadlift,Total
Nicola Adamchik,F,66,38,120,67.5,160,347.5
Kayleigh Del Cotto,F,67,29,115,70,137.5,322.5
Kimberly Walford,F,71.2,39,193,110,242.5,545.5
Marlow King,F,72,26,150,77.5,172.5,400
Rebecca Wilder,F,73.9,32,145,82.5,165,392.5
Madison Eichstadt,F,71.7,21,137.5,87.5,155,380
Sydney Lesseski,F,71.4,24,137.5,65,170,372.5
Cierra Crowe,F,73,19,137.5,70,147.5,355
Anastasia Lanz,F,72,29,115,60,145,320
Laura SanBoeuf,F,74.8,27,105,62.5,140,307.5
Ashley Newman,F,77.8,27,185,100,207.5,492.5
Brandy Messer,F,80.8,39,127.5,80,175,382.5
Lydia Pound,F,80.9,29,130,65,147.5,342.5
Tabitha Nunemaker,F,83.9,35,140,80.5,182.5,403
Christina Tupper,F,89.4,30,155,80,162.5,397.5
Jessica Brownlee,F,107.6,26,197.5,107.5,192.5,497.5
Amber Pauley,F,110.2,40,187.5,93,187.5,468
Kimberly Einstein #1,F,120.9,34,160,85,182.5,427.5
Sarah Webb,F,122.2,28,150,82.5,175,407.5
Alexandra Green,F,120.7,24,175,67.5,160,402.5
Jared Caroff,M,65.8,26,200,132.5,245,577.5
Charles Roy,M,74.1,23,215,137.5,262.5,615
Colin Van Dusseldorp,M,74.7,29,187.5,105,253,545.5
Julien Comte,M,73.9,35,192.5,102.5,210,505
Derek Selles,M,80.9,34,227.5,140,242.5,610
Ian Schneider,M,80.4,26,190,137.5,257.5,585
Allen Plata,M,80.6,31,185,105,272.5,562.5
Lenny Wicks,M,88.2,30,322.5,177.5,327.5,827.5
Kevin Anderson,M,89.5,24,255,160,292.5,707.5
Peter Nguyen #1,M,89,26,260,132.5,302.5,695
Kirk Whittenberg,M,88.9,36,225,187.5,262.5,675
Colton Collins,M,88.5,25,247.5,150,275,672.5
Bradley Michaels,M,87.4,31,217.5,147.5,252.5,617.5
William Peel,M,89.2,24,237.5,127.5,250,615
Bryan Opitz,M,89.2,31,205,145,217.5,567.5
Cardell Oliver,M,99.6,39,292.5,190,327.5,810
Caleb Viau,M,99,23,277.5,162.5,277.5,717.5
Antuavius Robinson,M,97.4,29,255,167.5,277.5,700
Matt Hand,M,97.6,25,252.5,157.5,265,675
Donovan Muldrow,M,97.7,31,237.5,150,280,667.5
Hunter Tyler,M,98,29,227.5,165,245,637.5
Creighton Asbill,M,99.3,25,185,152.5,240,577.5
Vincent Jackson,M,107.3,30,270,165,330,765
Robert Moran,M,109,24,245,162.5,290,697.5
Phillip Carr,M,109.7,29,242.5,177.5,257.5,677.5
Charles Van Valkenburgh,M,108.7,43,250,180,242.5,672.5
Ryan Jones #3,M,109.6,24,225,170,262.5,657.5
Brandon Combess,M,108.2,30,227.5,150,255,632.5
Cameron Ellis,M,124,27,255,185,265,705
Tyler Mann #1,M,130.8,26,282.5,195,340,817.5
Kermit Adkins,M,134.7,30,295,217.5,272.5,785
John Leonard,M,131.2,34,280,205,287.5,772.5
James Chapman #2,M,138.2,26,282.5,182.5,295,760
Shane Henley,M,135.9,37,257.5,207.5,272.5,737.5
Karl Kumm,M,134.8,35,265,175,235,675
Lillibeth Grubbs,F,55.5,34,85,47.5,97.5,230
Rebekah Reibsome,F,66.7,24,112.5,70,150,332.5
Itzel Volino,F,65.9,25,110,65,150,325
Kelly McCarthy,F,74.3,28,117.5,82.5,140,340
Celia Gomez,F,67.7,28,110,60,140,310
Whitney Pence,F,73.3,30,87.5,52.5,95,235
Myrah Stockdale,F,82.4,30,120,70,155,345
Leesha Wynn,F,85.6,49,130,75,200,405
Lacey Crowe,F,129.6,36,92.5,75,162.5,330
Candice Janco,F,119.5,33,122.5,75,130,327.5
Joseph Abrahams,M,64.1,33,120,95,182.5,397.5
Ryan Wright,M,65.9,19,132.5,92.5,155,380
Allen Plata,M,80.4,31,190,105,280,575
Ryan Johnson,M,80.6,25,177.5,135,215,527.5
Stephen Taylor,M,81,26,157.5,105,227.5,490
Tom Keller,M,80.4,54,175,107.5,200,482.5
Nicholas Lilly,M,89,24,210,137.5,250,597.5
Tyler Hester,M,87.8,22,177.5,122.5,227.5,527.5
Dalton Simeone,M,89.6,26,152.5,137.5,217.5,507.5
Ryan Sizemore,M,89.6,26,142.5,127.5,210,480
José Luis Mendoza,M,96.1,36,250,170,250,670
Michael Kave,M,98.8,26,240,167.5,240,647.5
Chad Delaney,M,98.3,30,222.5,165,252.5,640
Creighton Asbill,M,97.8,25,187.5,155,272.5,615
Matthew Grant,M,96.7,32,187.5,117.5,250,555
Anthony Chandler,M,108.1,27,257.5,197.5,310,765
Craig Wasberg,M,108.8,22,217.5,155,282.5,655
Paul Whitsett,M,106.9,27,145,87.5,155,387.5
Aaron Aguilar,M,124.7,19,247.5,152.5,250,650
Ryan Bowman,M,131.7,31,262.5,190,317.5,770
Kevin Hanlon,M,133.5,31,272.5,165,242.5,680
Matt Holtz,M,168.7,35,220,205,287.5,712.5
Brandon Nelson,M,142,32,250,150,280,680
Madeleine McElfresh,F,55.3,21,92.5,60,120,272.5
Shane Wallace,F,59,33,127.5,77.5,175,380
Catherine Hyland,F,59.8,25,102.5,70,137.5,310
Heather Anthony,F,57.7,29,85,50,127.5,262.5
Andi Cantrell,F,58.2,30,82.5,45,107.5,235
Sarah Galliano,F,60.4,24,145,80,160,385
Jill Obaugh,F,65.9,36,110,55,127.5,292.5
Dianna Burkholder,F,67,33,92.5,47.5,137.5,277.5
Katie Fertig,F,66.2,25,90,47.5,110,247.5
Jeanne Murdock,F,65.2,65,62.5,52.5,107.5,222.5
Caiti Vera,F,71.2,26,112.5,65,147.5,325
Becki Stenger,F,71,31,115,57.5,125,297.5
Raven Sullivan,F,80.2,26,140,72.5,170,382.5
Ogechi Akalegbere,F,96.2,30,210,107.5,200,517.5
Makala Corbett,F,123.8,24,127.5,87.5,147.5,362.5
Terry Ferguson,M,67.3,21,177.5,130,195,502.5
Jawon Garrison,M,79,30,290,190,285,765
Jeffrey Houska,M,82.1,34,255,155,262.5,672.5
Micaiah Branch,M,79.5,26,212.5,147.5,265,625
Nathan Smith #5,M,81.2,24,190,125,212.5,527.5
Derek Harris,M,81.4,25,162.5,130,200,492.5
Caleb Tincher,M,88.8,23,242.5,147.5,320,710
Michael Walker #2,M,88.4,29,265,150,292.5,707.5
Damon Reynolds,M,86.5,24,202.5,122.5,237.5,562.5
John Flynn,M,94.7,30,240,150,260,650
Seth Riley,M,97.1,25,230,160,245,635
Jon Clark #1,M,91.2,28,212.5,145,255,612.5
Justin Jefferson,M,107.8,27,235,155,282.5,672.5
Paul Panasci,M,107.8,28,205,155,260,620
Brandon Dunivan,M,111.1,25,212.5,117.5,225,555
Francesca Paraz,F,54.2,25,112.5,77.5,142.5,332.5
Ana Villacorta,F,55,34,105,65,150,320
Tahne Vongsavath,F,56.7,24,112.5,45,110,267.5
Jessika Shelton,F,56.2,30,92.5,50,100,242.5
Amber Leach,F,57.2,27,87.5,50,102.5,240
Ashley Edgerton,F,58.3,30,70,32.5,85,187.5
Tiffany Jane Barredo,F,64.5,27,77.5,42.5,112.5,232.5
Mindy Polk,F,74.2,39,102.5,62.5,157.5,322.5
Sarah Zeh,F,74.4,25,120,65,130,315
Chari Hensler,F,74.4,39,105,62.5,135,302.5
Kaitlin Adams,F,73.5,29,92.5,55,112.5,260
Taylee Heckman,F,81.3,24,155,77.5,182.5,415
Justin Bonaparte,M,58.6,23,185,102.5,210,497.5
James Cabajar,M,73.4,22,227.5,122.5,277.5,627.5
Christopher Ledesma,M,73.2,21,220,120,227.5,567.5
Devan Reaves,M,72.3,39,175,127.5,245,547.5
Tate Castro,M,81.9,25,195,127.5,260,582.5
Ryan Wong,M,79.5,20,162.5,82.5,185,430
Gabriel Allred,M,77.2,36,157.5,95,175,427.5
James Grant #1,M,87.4,28,260,175,295,730
Jon Miller,M,87.8,33,220,137.5,285,642.5
Tony Rodgers,M,83.5,30,222.5,170,237.5,630
Jim Clifford,M,98.7,28,250,155,295,700
Eric Prado,M,100,23,215,155,227.5,597.5
Adam Stenson,M,106,31,220,157.5,237.5,615
Kimney Alarca,M,105.1,33,187.5,147.5,215,550
Mario Falcon,M,151.4,35,222.5,147.5,265,635
Kristi Sives,F,48,26,107.5,55,137.5,300
Endira Morales,F,50.7,29,102.5,60,140,302.5
Jessica Ferris,F,59.5,31,135,62.5,155,352.5
Carrie Althoff,F,58.3,25,120,70,145,335
Virginia Waters,F,59,45,87.5,52.5,107.5,247.5
Celia Gomez,F,66.9,28,102.5,55,127.5,285
Rachel Weidner,F,74.6,29,150,57.5,152.5,360
Cari Andrew,F,71.8,33,127.5,62.5,132.5,322.5
Hayley Baxley,F,85.8,24,112.5,52.5,142.5,307.5
Melody Simpson,F,130.9,35,145,107.5,157.5,410
Lacey Crowe,F,128.7,36,105,77.5,160,342.5
Sonya Woods,F,103.1,39,125,57.5,157.5,340
Jeremy Seff,M,66.1,27,187.5,167.5,240,595
Theopolis Ussery,M,66.9,35,192.5,155,237.5,585
Richard Tarleton,M,73.8,34,200,145,215,560
Josh Sumner,M,77,21,200,130,245,575
Elijah Anderson,M,82,22,210,132.5,227.5,570
Jonathan Seivers,M,81.4,29,190,145,210,545
Gary Bone,M,87,24,230,180,252.5,662.5
Mike Pulito,M,87,32,222.5,150,227.5,600
Jack Hartmann,M,88.5,21,195,142.5,237.5,575
Hunter Graham,M,88.8,24,165,110,200,475
Curran Delaney,M,98.6,32,275,155,300,730
Brealon Ashworth,M,92.1,27,245,162.5,257.5,665
Byron Kelly,M,95.8,31,182.5,117.5,285,585
Michael Mann,M,98.8,29,215,120,235,570
Michael Jolly,M,104.5,23,235,157.5,247.5,640
Imelda Fowler,F,41.3,57,70,47.5,140,257.5
Maryam Rushdi,F,47.6,26,110,40,142.5,292.5
Jodie Du,F,47.9,25,67.5,45,75,187.5
Sungha Jeon,F,50.7,22,110,52.5,120,282.5
Deanna Lopez,F,59.7,24,137.5,77.5,160,375
Michelle Kim,F,59.8,25,135,70,152.5,357.5
Estela Silva,F,59.9,25,112.5,50,132.5,295
Lisa Nguyen,F,59.8,27,102.5,50,137.5,290
Chantal Tlalpan,F,60,26,97.5,40,117.5,255
Veronica Lee,F,58.3,25,70,40,105,215
Andrea Gonzalez,F,64.7,26,150,70,157.5,377.5
Yolanda Presswood,F,62.5,41,140,65,147.5,352.5
Tess Apinchapong,F,65.5,22,130,42.5,147.5,320
Irene Truong,F,65.3,29,102.5,55,132.5,290
Shannon Paulson,F,64.7,47,72.5,75,130,277.5
Jessica Marantz,F,62.4,33,97.5,55,120,272.5
Jenne Duben,F,61.5,33,82.5,50,100,232.5
Sarah Abbas,F,74.9,32,132.5,82.5,175,390
Sarah Wilson,F,75,22,112.5,55,137.5,305
Kelly Sheehy,F,81.4,32,187.5,97.5,169,454
Lyna Vo,F,79.5,28,152.5,87.5,160,400
Amada Cuahutle,F,84.3,24,87.5,47.5,132.5,267.5
Janett Thomas,F,146.2,28,140,95,150,385
Steven Diep,M,51.6,21,125,95,165,385
Bao Huynh,M,58.8,32,180,130,200,510
Craig Sano,M,58.7,24,167.5,92.5,200,460
Jason Vicente,M,66.7,33,182.5,135,227.5,545
Joelle Pamplona,M,65,22,182.5,110,190,482.5
Mikel Fulgencio,M,67.4,27,152.5,95,222.5,470
Steve Mar,M,71.1,30,202.5,127.5,232.5,562.5
Brian Menda,M,72,18,195,115,252.5,562.5
Kevin Suy,M,74.9,26,205,130,227.5,562.5
Miguel Cardenas,M,74.6,29,192.5,130,237.5,560
Bryan Arroyo,M,71.2,28,187.5,117.5,227.5,532.5
Edwin Monterrubio,M,73.4,24,160,90,195,445
Steve Melero,M,82.3,36,250,145,287.5,682.5
Damon Bly,M,79.8,29,227.5,147.5,300,675
Johnny Mejia,M,81.4,22,242.5,155,237.5,635
Jonathan Posey,M,82.3,25,215,152.5,265,632.5
Sassan Khatibloo,M,80.9,24,207.5,142.5,240,590
Kevin Hiura,M,81.9,25,212.5,125,240,577.5
Daryl Williams,M,82.5,36,170,147.5,255,572.5
Kevin Lee,M,79.1,30,175,142.5,240,557.5
James Register,M,81.6,24,185,120,197.5,502.5
Gabriel Rivera,M,81.4,33,147.5,102.5,230,480
James Aguila,M,79.4,26,160,102.5,197.5,460
Jonathan Garcia,M,81.5,28,177.5,80,192.5,450
Colby Livingston,M,77.8,18,157.5,105,182.5,445
Sean Lane,M,80.8,25,147.5,100,195,442.5
Heath Walker,M,87.8,23,255,165,272.5,692.5
Joe Francisco #1,M,88.5,25,247.5,142.5,270,660
William Moorman,M,89,31,237.5,142.5,265,645
Cody Duca,M,87.2,29,182.5,162.5,240,585
Jesse Silva,M,87.8,27,190,145,240,575
Benjamin Gaines,M,87.1,31,190,145,232.5,567.5
Wes Whiting,M,88.2,30,195,110,227.5,532.5
Alexander Lima,M,86.1,30,177.5,117.5,227.5,522.5
Mario Bernal,M,83.2,33,175,110,217.5,502.5
Edgar Ramirez,M,88.9,32,175,110,205,490
Chris Hardesty,M,86.1,30,150,135,195,480
Brent Sturgeon,M,89.1,28,170,100,205,475
Daniel Rubio,M,89.2,28,102.5,107.5,150,360
Joseph Robinson,M,95.5,28,273,197.5,285,755.5
Alberto Martinez,M,99.1,24,215,177.5,272.5,665
Jonathan Shillcox,M,95.3,32,167.5,122.5,220,510
Aaron Terry,M,109.3,28,327.5,200,345,872.5
Nick Squires,M,100.6,31,245,157.5,272.5,675
Gilbert Lial,M,105.9,27,227.5,180,260,667.5
Greg Johnson,M,114.6,34,192.5,115,205,512.5
Luke Beller,M,111.7,25,185,100,192.5,477.5
Ray Luna,M,132.9,35,247.5,177.5,237.5,662.5
Loren Ouellette,M,148,34,230,140,305,675
Vanessa Ferla,F,47.2,33,102.5,72.5,145.5,320.5
Ginger Burton,F,51.4,46,80,85,108,273
Zarah Ashcroft,F,54.1,27,87.5,42.5,120,250
Veronica Card,F,59.1,30,142.5,85,177.5,405
Amanda Bowker,F,58.9,27,147.5,75,157.5,380
Nicole Pompei,F,66.5,27,142.5,97.5,165,405
Rhonda Biggs,F,71.3,28,130,67.5,150,347.5
Frances Arias,F,87.2,33,125,67.5,150,342.5
Sarah Webb,F,118.6,29,160,87.5,187.5,435
Jessica Thompson #2,F,106.6,29,170,85,177.5,432.5
Candice Galvan,F,100.2,35,165,70,182.5,417.5
De'Marcus Williams,M,68.2,34,200,115,277.5,592.5
Christian Pautin,M,72.6,23,217.5,137.5,237.5,592.5
Felix Flores #1,M,72.9,24,177.5,130,202.5,510
Jose Cuevas,M,82.1,30,212.5,137.5,250,600
Lucio Zepeda,M,80.4,25,200,130,212.5,542.5
Joshua Bernal,M,87.4,24,190,142.5,207.5,540
Chris Gonzales #1,M,94.3,28,210,137.5,240,587.5
Otto Dobretsberger,M,107.7,33,215,190,290,695
Danny Dominguez,M,115,24,245,175,290,710
Andrew Rawling,M,144.9,24,295,175,330,800
Blaine Stephens,M,169,26,295,172.5,287.5,755
Hilary Nguyen,F,44.2,23,87.5,37.5,80,205
Alyssa Wu,F,58.7,22,127.5,70,147.5,345
Vanessa Funes,F,66.4,33,87.5,47.5,120,255
Carrie Halverson,F,65.8,25,80,47.5,105,232.5
Kelly Lenahan,F,73.9,28,132.5,77.5,187.5,397.5
Erin Williams,F,74.9,28,102.5,70,132.5,305
Sydney Singson,F,98.7,22,167.5,87.5,182.5,437.5
Qui Luong,M,51.8,21,132.5,75,175,382.5
Arturo Aquino,M,64.4,26,147.5,92.5,162.5,402.5
William Pham,M,74.6,20,212.5,132.5,272.5,617.5
Tu Le #2,M,73.1,30,155,107.5,187.5,450
John Rivera,M,79.9,28,165,115,200,480
Daryl Mambu,M,79.1,31,152.5,117.5,185,455
Kyle Saiki,M,84.2,31,192.5,140,225,557.5
Joseph Orona,M,88,37,147.5,162.5,227.5,537.5
Cham Choe,M,88.3,37,185,110,200,495
Cary Leslie,F,54.8,35,115,65,127.5,307.5
Rebecca Pell,F,58.5,26,130,67.5,137.5,335
Anne Ellison,F,60,40,105,62.5,115,282.5
Kristi Tolley,F,72.8,30,140,55,165,360
Megan Shaffer,F,75,30,107.5,70,150,327.5
Amber Pauley,F,112.8,40,195,95,182.5,472.5
Jillian Phillips,F,101.2,29,157.5,82.5,170,410
Kelly Campbell,F,92.6,33,132.5,67.5,147.5,347.5
Edie Godwin,F,114.7,23,145,65,127.5,337.5
Micah Moore #1,M,64.3,27,150,110,172.5,432.5
Nathan Elmond,M,81.5,32,215,132.5,242.5,590
Dalton Nolte,M,80.3,24,172.5,125,257.5,555
Tyler McClanahan,M,80.4,26,155,105,205,465
Micaiah Branch,M,88.2,26,232.5,157.5,277.5,667.5
Daniel Young,M,85.6,21,230,157.5,245,632.5
Alex Howard,M,86.3,24,165,92.5,182.5,440
Ken Lesher,M,95.4,53,155,140,195,490
Anthony Chandler,M,109.4,27,260,197.5,300,757.5
Dan Fultz,M,109.2,24,227.5,170,272.5,670
Alex Cercone,M,108,36,240,150,247.5,637.5
Tim Kelly,M,107.9,27,220,160,247.5,627.5
Dan Harold,M,109,27,197.5,122.5,212.5,532.5
Joshua Brown,M,109.3,37,185,147.5,200,532.5
Elijah Henderson,M,108.7,21,137.5,90,220,447.5
Jeffrey Elian,M,124.9,27,227.5,192.5,250,670
Josh Conroy,M,117.5,31,210,137.5,250,597.5
Joshua Dougherty,M,137,29,260,172.5,282.5,715
Randi Meyer,F,66.1,25,100,67.5,100,267.5
Brittany Flagg,F,74,22,160,80,162.5,402.5
Allison Martin,F,73,27,102.5,65,150,317.5
Jennell Murphy,F,73,30,117.5,65,120,302.5
Megan Infantino,F,71.5,34,92.5,67.5,115,275
Rebecca Bachman,F,138.2,33,167.5,95,177.5,440
Justin Dixon,M,65.5,22,142.5,95,204,441.5
James Olmo,M,63.1,24,142.5,120,165,427.5
Brendan Chen,M,66.4,21,155,80,167.5,402.5
Jyahvonte Thompson,M,72.1,22,160,105,212.5,477.5
Adam Ibrahim,M,81.5,25,217.5,137.5,257.5,612.5
Nicholas Yaeger,M,81,19,210,135,212.5,557.5
Cory Buss,M,88.1,28,167.5,140,282.5,590
Jesse Shelton,M,83.3,32,195,142.5,222.5,560
Kylle Edwards,M,94.5,22,275,167.5,275,717.5
Ronnie Tisdal,M,99.3,24,240,142.5,255,637.5
Johnny Merryman,M,97.7,29,195,157.5,245.5,598
David McNall,M,97.4,25,205,120,220,545
Steven Zhao,M,121.8,22,242.5,185,275,702.5
Stephen Oatley,M,123.4,35,182.5,150,285,617.5
Jake Stewart,M,128.4,27,197.5,142.5,217.5,557.5
Samantha Shinavier,F,52.7,20,122.5,72.5,145,340
Taylor Hart,F,54.5,22,115,60,142.5,317.5
Antoinette Iwuagwu,F,57.8,20,140,67.5,150,357.5
Chandler Babb,F,66.6,26,155,95,207.5,457.5
Charsell Kincaid,F,66.2,51,125,60,160,345
Alexis Levin,F,64.2,26,127.5,65,145,337.5
Sadaf Asghar,F,62.1,23,117.5,65,147.5,330
Alexis Strauss,F,64.2,20,115,57.5,130,302.5
Erin Mcgarry,F,62.1,28,105,52.5,125,282.5
Jenna Stoddard,F,74.8,26,145,72.5,180,397.5
Veronica Castorena,F,71.2,32,115,82.5,140,337.5
Elizabeth Taylor,F,74.4,26,122.5,67.5,140,330
Genevieve Fischre,F,72.8,32,107.5,60,145,312.5
Savannah Hoffman,F,71.7,26,105,50,137.5,292.5
Jillian Clark #1,F,78.7,29,162.5,95,167.5,425
Danielle Valentine,F,81.2,41,125,65,152.5,342.5
Rachel Krajkowski,F,84.4,27,117.5,65,125,307.5
Tori Miteen,F,97.9,33,147.5,70,160,377.5
Joshua Bane,M,65,31,162.5,122.5,215,500
Jimmy Schroader,M,66.5,27,150,120,190,460
Christopher Fortune,M,73.1,28,205,120,247.5,572.5
Evan Gregory,M,74.9,25,190,125,210,525
Todd Lieberman,M,73.7,33,145,115,215,475
Andrew Burley,M,74.7,25,155,92.5,192.5,440
Jonathan Ebbert,M,89.4,28,240,172.5,257.5,670
Derek Betts,M,88.5,29,222.5,155,270,647.5
Anthony Bronaugh,M,86.9,22,200,140,272.5,612.5
John Winterfeld,M,88.4,22,197.5,147.5,240,585
Brandon Burt,M,89.7,30,202.5,165,202.5,570
Jonathan Parfejewiec,M,87.5,22,205,127.5,235,567.5
Nathan Albright,M,89.6,25,175,150,217.5,542.5
Conan Stoehr Jr,M,94.4,22,235,135,260,630
Florideo Passarelli,M,97.9,25,220,142.5,235,597.5
Andrew Paul,M,96,25,202.5,130,222.5,555
Michael Richards,M,94.5,26,195,140,192.5,527.5
Chris Bucuren,M,107.2,32,240,147.5,265,652.5
David Grabowski,M,111,33,225,172.5,255,652.5
Jason Stock,M,114.8,42,205,160,220,585
Tyler Griffeth,M,132.3,30,272.5,190,287.5,750
Amber Stazenski,F,54.7,29,62.5,45,105,212.5
Samantha Richards,F,64,25,85,50,112.5,247.5
Natalie Killmon,F,66.5,36,75,42.5,100,217.5
Pheleena John,F,73.6,38,77.5,45,92.5,215
Genesis Rascon,F,72.9,25,60,30,85,175
Michael McCarthy,M,64.2,18,142.5,102.5,170,415
Devin Goins,M,71.9,19,140,92.5,197.5,430
Ben Rosenbaum,M,81.3,24,222.5,147.5,227.5,597.5
Kevin Wang,M,87.5,22,220,165,250,635
Aaron Ecton,M,87,39,207.5,147.5,250,605
John Yanesh,M,87.5,34,160,117.5,190,467.5
John Barber,M,88.2,39,125,97.5,167.5,390
Benjamin Swope,M,99.2,41,277.5,177.5,280,735
Arthur Yin,M,95.8,23,227.5,160,265,652.5
Gabriel Tellez,M,97.2,27,205,137.5,237.5,580
Jason Dewey,M,104.8,39,177.5,135,212.5,525
Peter Leon,M,117.1,35,202.5,172.5,257.5,632.5
David Van Hoorik,M,120.8,31,227.5,160,227.5,615
Cody Alvarez,M,123.7,29,235,125,247.5,607.5
Levi Lehman,M,117.1,30,165,160,250,575
Sarah Rennells,F,55.05,43,80,47.5,115,242.5
Zoe York,F,59.95,30,85,68,80,233
Priscilla Martinez,F,66.7,28,135,67.5,147.5,350
Chelsea Miller,F,74.05,42,115,85.5,137.5,338
Kim Clark,F,68.9,40,95,55,105,255
Kristi Reese,F,81.8,34,142.5,95,155,392.5
Stephanie Cantrell,F,78.15,39,130,67.5,180,377.5
Christin Cole,F,80,35,100,60,122.5,282.5
Tarissa Richardson,F,122.6,32,110,82.5,160,352.5
Minh Hoang,M,66.45,30,175,105,220,500
Trevor Ryan,M,74.95,26,200.5,145,240,585.5
Rayson Sorayama,M,81.95,22,195,155,275,625
Jordan Nelson,M,82.05,23,200,145,220,565
Andrew O'Connor,M,82.45,36,180,120,217.5,517.5
Zach Childers,M,80.55,27,85,97.5,197.5,380
Nathan Kelley,M,87.15,33,182.5,137.5,227.5,547.5
Pai'ea Robins,M,103.15,20,205,145,260,610
Noah Prangley,M,118.9,20,187.5,117.5,227.5,532.5
Danielle Zins,F,51.5,24,97.5,52.5,137.5,287.5
Natasha Beasley,F,58.7,36,100,82.5,170.5,353
Katie Kecman,F,61,31,100,50,120,270
Mona Espinosa,F,72.7,37,95,78,138,311
Folasade Adebayo,F,80.2,27,130,77.5,182.5,390
Suzanne Witt,F,77.3,28,115,65,157.5,337.5
Brittany Turner,F,80,27,117.5,67.5,142.5,327.5
Nhi Nguyen,F,77,25,87.5,50,120,257.5
Betty Liu,F,88.1,26,115,67.5,140,322.5
Ogechi Akalegbere,F,99.4,30,230,107.5,207.5,545
Marissa Wilson,F,102.9,27,222.5,122.5,185,530
Joshua Perlman,M,67.4,24,185.5,112.5,217.5,515.5
Aaron Le,M,65.4,19,160,100,187.5,447.5
Minh Tran,M,74.4,24,215,135,260,610
Brian McAbee,M,74.4,21,205,105,280,590
Cameron Ghassemi,M,74.2,22,170,142.5,190,502.5
Nate Crawford,M,70.2,20,165,100,205,470
Jason Ogden,M,72.3,29,137.5,97.5,172.5,407.5
Re'Sean Harris,M,79.5,20,227.5,142.5,242.5,612.5
Lucas Pribble,M,81.8,23,205,155,227.5,587.5
Kyle Williams,M,79.6,28,170,110,205,485
Elye Bliss,M,78.2,30,160,112.5,195,467.5
Caleb Tincher,M,89.4,23,250,152.5,312.5,715
George Latson,M,88.5,27,220,175,250,645
Gene Santomartino,M,97.6,54,220,147.5,255,622.5
Michael Almedina,M,92.6,26,212.5,135,250,597.5
Cody Figgatt,M,93.1,25,172.5,117.5,200,490
Gabe Woodrow,M,97.8,30,177.5,97.5,212.5,487.5
Chris Allen,M,119.6,45,142.5,172.5,250,565
Chris Smith,M,126.3,33,210,167.5,222.5,600
Jordan Rodriguez,F,52.9,18,122.5,62.5,130,315
Julia Hsu,F,54.7,22,90,67.5,130,287.5
Elaine Haggard,F,58.9,21,117.5,57.5,130,305
Leslie Giron-Molina,F,58.3,19,100,63,130,293
Kristin Vandeven,F,58.6,22,97.5,55,130,282.5
Annie Wilson,F,66.7,20,145,75,162.5,382.5
Amanda Kuruc,F,65.6,22,120,70,140,330
Virginia Villani,F,63,22,115,62.5,150,327.5
Grace Platek,F,66,20,102.5,57.5,137.5,297.5
Caroline Nguyen,F,66.9,21,95,62.5,140,297.5
Mackenzie Kelly,F,66.1,21,105,60,120,285
Katherine Williams,F,62.7,21,102.5,42.5,135,280
Laura Bywalec,F,67.5,19,102.5,60,117.5,280
Katie Boehlefeld,F,65.7,21,95,52.5,117.5,265
Michaela Piendel,F,72.6,23,152.5,62.5,162.5,377.5
Ashley Grim,F,71.9,23,140,80,155,375
Madison Eichstadt,F,70.4,22,140,82.5,145,367.5
Claire Taylor #1,F,70.8,25,130,62.5,162.5,355
Lauren Maloney,F,73.5,20,137.5,60,125,322.5
Erin Weible,F,74.7,19,117.5,62.5,137.5,317.5
Katelyn Peacock,F,76.4,19,85,55,110,250
Parker Rembis,M,59,19,173,100.5,197.5,471
Kong Vorachack,M,59.7,23,117.5,100,167.5,385
Vincent Falzetta,M,66.7,21,230,135,280,645
John Linden,M,67.3,21,170,115,245,530
Brandon Roseborough,M,66.6,21,185,125,200,510
Alex Hannah,M,66.5,23,182.5,112.5,210,505
David Dotson,M,66.7,21,182.5,107.5,180,470
Aubrey Hogan,M,73.1,22,247.5,157.5,282.5,687.5
Brian DeGori,M,74.9,23,217.5,140,252.5,610
Nick Smith,M,73.5,21,220,125,247.5,592.5
Timothy DeHaas,M,74.6,27,200,135,257.5,592.5
Ryan O'Connell,M,72.7,21,187.5,142.5,225,555
Dylan Jordan,M,72.6,20,190,120,217.5,527.5
Trevor Lineburg,M,75,21,190,115,215,520
Adrian Sison,M,74.8,21,165,127.5,202.5,495
Caleb Moore #2,M,74,21,165,135,190,490
Ross Simpson,M,74.4,20,175,115,192.5,482.5
Matthew Brockman,M,74.8,20,112.5,87.5,150,350
Vasant Saladi,M,72.3,19,112.5,65,152.5,330
Brendan Brown,M,81.6,20,237.5,140,265,642.5
Anthony Perry,M,81.6,27,235,155,237.5,627.5
Kaden Gilmore,M,80,20,227.5,132.5,255,615
Nicholas Velez,M,80.5,22,190,135,242.5,567.5
Nick Sia,M,81,21,205,122.5,227.5,555
Lucas Muller,M,82.5,19,182.5,130,232.5,545
Tyler Charuhas,M,81.5,19,185,125,222.5,532.5
Benjamin Jeon,M,81.9,21,197.5,132.5,202.5,532.5
Matthew Zwiren,M,81.2,23,185,142.5,202.5,530
Timothy Rohe,M,82.2,19,202.5,130,190,522.5
Tiernan Keast,M,81.5,20,190,120,202.5,512.5
Zach Wargo,M,80.3,19,192.5,100,215,507.5
Greg Cannata,M,81.6,20,167.5,110,210,487.5
Corey Pajek,M,78.2,20,162.5,112.5,205,480
Brent Rushing,M,79.9,21,175,100,200,475
Cameron O'Neill,M,78,21,172.5,105,195,472.5
Mike Pirsos,M,81.2,19,167.5,95,172.5,435
